VARIABLES = "x/c","cp"

0.31617302263266184, 	 0.33129049236805586
0.3293411167998468, 	 0.3591731661802001
0.34250442604909326, 	 0.38878989425331356
0.35734724149480834, 	 0.4097535767261591
0.3672424517919518, 	 0.42372936504138947
0.3754629408105651, 	 0.4446241446959186
0.39194219819130105, 	 0.4725412699172209
0.4001722570457916, 	 0.489967941049811
0.41170390927795586, 	 0.5108971721134983
0.42324034642805874, 	 0.530092348916216
0.4314751902004881, 	 0.5457849657878368
0.45128953538446814, 	 0.5650662711134503
0.4628307574525097, 	 0.5825273936551986
0.4710656012249389,	 0.5982200105268195
0.4826211780467965, 	 0.6104789702856596
0.4908608067371645, 	 0.6244375328963109
0.5056749126752477, 	 0.6558055409349731
0.5238480310062682, 	 0.6698674577730993
0.5452892482893918, 	 0.6995703143691087
0.5667208957366381, 	 0.7327412794870568
0.5815637111823532, 	 0.7537049619599022
0.6063304464328436,	 0.7782401071821617
0.6228671228288435, 	 0.7853485812718312
0.6361883343700655, 	 0.7577415187329538
0.6362840327288386, 	 0.7230604335135654
0.639657399875592, 	 0.7005521795301212
0.641389540169386, 	 0.6728245370591895
0.644767692234078, 	 0.6485822288147757
0.6481697688884634, 	 0.615669649265515
0.6498971242643188, 	 0.5896760610555528
0.6516627589836833, 	 0.5498100387578353
0.6567347719986601,	 0.5117125221302454
0.6568304703574332, 	 0.47703143691085703
0.666917077372123, 	 0.4216450547873103
0.6618976984544714, 	 0.44066797454423645
0.6703000143547538, 	 0.39566869228192736
0.6753433178620986, 	 0.367975501220154
0.6837073544188716, 	 0.3368486530456002
0.6854251399588496, 	 0.31432317335757676
0.6921096703191539, 	 0.291849370783291
0.7054165271065601, 	 0.26944447102732183
0.7153930810086607, 	 0.253941336906072
0.7303794439925354, 	 0.22288339154983483
0.750313412124982, 	 0.1988133403512129
0.768606153404469,	 0.16952390066510348
0.7935164361931192, 	 0.14203741805828018
0.8167663524570552, 	 0.11626776400784711
0.8433035073448489, 	 0.0992028326714196
0.8781329250203357, 	 0.07702186707497949
0.9179099478443944, 	 0.06182879563615473
0.9461026843389635, 	 0.0447810900043063
0.9759222929326762, 	 0.038154935642853605
1.0156849610029186, 	 0.028164026986936985
1.0421742667113258, 	 0.028439638260203626
1.0620890951720177, 	 0.01130580410545956
1.0786831905832814, 	-0.0023943729365042965
1.098588449208096, 	-0.016060098569309678
1.1234700224891143, 	-0.03314225561031647
1.1417196995071535, 	-0.04682520694770104
1.166610842624049, 	-0.06737547251064668
1.19148284606919, 	-0.08098952102971452
1.2213120244987798, 	-0.09108378391310606
1.2461792430259822, 	-0.10296377817120456
1.2776640030623476, 	-0.11304081535001692
1.3074740418201827, 	-0.11619886118953077
1.3348031006268242, 	-0.12024977271639803
1.3588066414660989, 	-0.11913297286951546
1.3853007320924446, 	-0.12059141585721828
1.4134456194076273, 	-0.12029857887937245
1.443236518493708, 	-0.1165204076750086
1.4697066845303601, 	-0.10930857935786426
1.50445475860089, 	-0.10201062251782406
1.540858414278195, 	-0.09469543997320468
1.5838843963826021, 	-0.08731135461026868
1.6269103784870091, 	-0.07992726924733268
1.6649696157710896, 	-0.07259486099813411
1.699722474759558, 	-0.06703095841906331
1.7328006124694961, 	-0.054548064500694105
1.7659026747691275, 	-0.050735441887171884
1.7907220441169434, 	-0.04527489353557618
